"year"	"month"	"day"	"zone"	"tow.number"	"tow.id"	"swept.area"	"swept.area.method"	"tow.type"	"start.time"	"end.time"	"latitude"	"longitude"	"depth.meters"	"bottom.temperature.minilog"	"bottom.temperature.star.oddi"	"vessel"	"commercial.count"	"commercial.weight"	"commercial345.count"	"commercial345.weight"	"male.legal.count"	"male.legal.immature.count"	"male.count"	"female.count"	"total.count"
2018	7	20	"F"	2	"GP331F"	2372	"model"	"Primary"	"07:11:54"	"07:16:59"	47.83125	-60.90045	71.3	0.62	0.37	"Jean-Mathieu"	3	1.4	2	0.771	4	1	42	23	65
2018	7	20	"F"	3	"GP326F"	2399	"model"	"Primary"	"08:08:41"	"08:13:41"	47.8210916666667	-60.9805666666667	56.7	1.07	0.78	"Jean-Mathieu"	6	2.926	1	0.397	6	0	48	30	78
2018	7	20	"F"	4	"GP315F"	2083	"model"	"Primary"	"09:14:58"	"09:19:55"	47.84365	-61.0902333333333	49.4	2.93	2.64	"Jean-Mathieu"	0	0	0	0	0	0	37	4	41
2018	7	20	"F"	5	"GP324F"	2635	"model"	"Primary"	"10:24:19"	"10:29:26"	47.916225	-60.9675666666667	86	0.87	0.66	"Jean-Mathieu"	3	1.669	2	1.279	4	1	30	58	88
2018	7	20	"F"	6	"GP313F"	2377	"model"	"Primary"	"11:49:35"	"11:54:40"	47.968525	-61.1077833333333	82.3	0.95	0.71	"Jean-Mathieu"	1	0.4	0	0	1	0	31	26	57
2018	7	20	"12"	7	"GP320F"	2476	"average"	"Primary"	"12:57:19"	"13:01:48"	48.034775	-61.0275166666667	285.3	6.53	6.44	"Jean-Mathieu"	0	0	0	0	0	0	1	7	8
2018	7	20	"12"	8	"GP312F"	2414	"model"	"Primary"	"14:48:45"	"14:54:12"	48.079475	-61.1166833333333	294.4	6.55	6.44	"Jean-Mathieu"	0	0	0	0	0	0	0	0	0
2018	7	20	"12"	9	"GP316F"	2559	"average"	"Primary"	"17:08:52"	"17:13:40"	48.1979083333333	-61.239375	385.9	6.34	6.22	"Jean-Mathieu"	0	0	0	0	0	0	0	0	0
2018	7	20	"E"	10	"GP295F"	2952	"model"	"Primary"	"19:22:20"	"19:27:24"	48.0951	-61.4041833333333	93.3	1.05	0.83	"Jean-Mathieu"	10	5.236	1	0.51	11	1	66	1	67
2018	7	20	"12"	11	"GP290F"	2531	"model"	"Primary"	"20:23:24"	"20:28:24"	48.0417	-61.4597	69.5	0.5	0.22	"Jean-Mathieu"	3	1.694	0	0	3	0	16	12	28
2018	7	21	"12"	1	"GP293F"	2668	"average"	"Primary"	"05:35:52"	"05:42:01"	48.2227416666667	-61.4310916666667	362.1	6.43	6.29	"Jean-Mathieu"	0	0	0	0	0	0	1	0	1
2018	7	21	"E"	2	"GP282F"	2877	"average"	"Primary"	"07:52:21"	"07:58:29"	48.2246166666667	-61.6136166666667	314.6	6.36	6.22	"Jean-Mathieu"	0	0	0	0	0	0	0	0	0
2018	7	21	"12"	3	"GP273F"	2690	"model"	"Primary"	"09:56:40"	"10:01:54"	48.1120583333333	-61.7098	93.3	0.98	0.78	"Jean-Mathieu"	7	3.025	1	0.374	8	1	81	35	116
2018	7	21	"E"	4	"GP260F"	3093	"model"	"Primary"	"11:48:38"	"11:53:59"	48.234075	-61.885125	214	5	4.86	"Jean-Mathieu"	0	0	0	0	2	2	58	1	59
2018	7	21	"E"	5	"GP269F"	2781	"average"	"Primary"	"13:05:55"	"13:10:56"	48.28345	-61.7756416666667	340.2	6.45	6.29	"Jean-Mathieu"	0	0	0	0	0	0	0	0	0
2018	7	21	"E"	6	"GP250F"	3304	"model"	"Primary"	"15:03:10"	"15:08:23"	48.2854	-61.947375	248.7	6.04	5.9	"Jean-Mathieu"	0	0	0	0	0	0	0	0	0
2018	7	21	"E"	7	"GP251F"	2125	"model"	"Primary"	"16:23:34"	"16:28:45"	48.2352166666667	-62.0196416666667	106.1	1.15	0.98	"Jean-Mathieu"	0	0	0	0	0	0	0	0	0
2018	7	21	"E"	8	"GP235F"	2709	"average"	"Primary"	"18:15:02"	"18:20:02"	48.3987666666667	-62.1181	362.1	6.49	6.33	"Jean-Mathieu"	0	0	0	0	0	0	0	0	0
2018	7	22	"E"	1	"GP237A1"	2564	"model"	"Alternate 1"	"05:33:43"	"05:38:15"	48.3623166666667	-62.1115333333333	279.8	6.26	6.15	"Jean-Mathieu"	0	0	0	0	0	0	0	0	0
2018	7	22	"E"	2	"GP203F"	2881	"average"	"Primary"	"07:53:43"	"07:57:42"	48.3606	-62.4488916666667	254.2	6.14	6.05	"Jean-Mathieu"	0	0	0	0	0	0	0	0	0
2018	7	22	"12"	3	"GP208F"	2850	"model"	"Primary"	"09:30:39"	"09:35:48"	48.2682166666667	-62.3770166666667	75	0.24	0.01	"Jean-Mathieu"	1	0.619	0	0	1	0	5	8	13
2018	7	22	"12"	5	"GP201A1"	3092	"model"	"Alternate 1"	"11:58:58"	"12:04:08"	48.1605916666667	-62.5244666666667	65.8	0.3	0.01	"Jean-Mathieu"	0	0	0	0	1	0	12	5	17
2018	7	22	"12"	6	"GP181F"	2572	"model"	"Primary"	"14:03:01"	"14:08:13"	48.3101916666667	-62.682975	93.3	0.73	0.51	"Jean-Mathieu"	0	0	0	0	0	0	2	0	2
2018	7	22	"E"	7	"GP187F"	3078	"average"	"Primary"	"15:34:21"	"15:40:31"	48.4424333333333	-62.6472666666667	340.2	6.53	6.43	"Jean-Mathieu"	0	0	0	0	0	0	0	0	0
2018	7	22	"12"	8	"GP166F"	2094	"model"	"Primary"	"17:30:28"	"17:35:11"	48.4190166666667	-62.8516333333333	171.9	4.62	4.5	"Jean-Mathieu"	1	0.378	1	0.378	1	0	3	2	5
2018	7	22	"E"	9	"GP156F"	2766	"average"	"Primary"	"19:33:18"	"19:39:34"	48.5987416666667	-62.942825	365.8	6.42	6.26	"Jean-Mathieu"	0	0	0	0	0	0	0	1	1
2018	7	23	"12"	1	"GP072F"	2960	"model"	"Primary"	"05:36:31"	"05:41:41"	48.8192333333333	-63.7673	182.9	4.34	4.22	"Jean-Mathieu"	0	0	0	0	0	0	0	0	0
2018	7	23	"12"	2	"GP085F"	3037	"model"	"Primary"	"07:28:34"	"07:33:32"	48.8298166666667	-63.5578083333333	243.2	5.88	5.76	"Jean-Mathieu"	0	0	0	0	0	0	1	2	3
2018	7	23	"12"	3	"GP081F"	2470	"average"	"Primary"	"09:21:28"	"09:27:27"	48.8991416666667	-63.5894416666667	303.6	6.19	6.08	"Jean-Mathieu"	0	0	0	0	0	0	0	0	0
2018	7	23	"12"	4	"GP098F"	2572	"average"	"Primary"	"11:39:33"	"11:44:29"	48.9380083333333	-63.428525	349.3	6.4	6.26	"Jean-Mathieu"	0	0	0	0	0	0	0	0	0
2018	7	23	"12"	5	"GP120F"	2618	"average"	"Primary"	"13:30:45"	"13:34:58"	48.9209583333333	-63.2630583333333	384	6.39	6.26	"Jean-Mathieu"	0	0	0	0	0	0	1	0	1
2018	7	23	"12"	6	"GP109F"	2618	"average"	"Primary"	"15:08:51"	"15:13:51"	48.83545	-63.3523666666667	305.4	6.32	6.19	"Jean-Mathieu"	0	0	0	0	0	0	5	3	8
2018	7	23	"12"	7	"GP122F"	2657	"average"	"Primary"	"16:47:48"	"16:52:49"	48.7514916666667	-63.2604833333333	270.7	6.17	6.05	"Jean-Mathieu"	0	0	0	0	0	0	3	3	6
2018	7	23	"E"	8	"GP142F"	3342	"model"	"Primary"	"18:20:46"	"18:26:17"	48.7136	-63.1098583333333	343.8	6.33	6.19	"Jean-Mathieu"	0	0	0	0	0	0	2	1	3
2018	7	24	"12"	1	"GP121A1"	2359	"model"	"Alternate 1"	"05:38:13"	"05:43:55"	48.6689333333333	-63.2418416666667	228.6	5.48	5.36	"Jean-Mathieu"	0	0	0	0	0	0	0	0	0
2018	7	24	"12"	2	"GP134F"	2479	"model"	"Primary"	"07:45:07"	"07:50:09"	48.5314833333333	-63.2422583333333	126.2	3.17	3.04	"Jean-Mathieu"	0	0	0	0	0	0	1	0	1
2018	7	24	"E"	3	"GP139F"	2404	"model"	"Primary"	"09:04:48"	"09:09:47"	48.544475	-63.130275	223.1	4.89	4.76	"Jean-Mathieu"	1	0.458	1	0.458	1	0	2	7	9
2018	7	24	"12"	5	"GP112A1"	2776	"average"	"Alternate 1"	"12:24:52"	"12:29:53"	48.435725	-63.40815	117	2.23	2.09	"Jean-Mathieu"	0	0	0	0	0	0	51	44	95
2018	7	24	"12"	6	"GP115F"	3349	"model"	"Primary"	"13:24:35"	"13:29:42"	48.439225	-63.2986	98.8	1.61	1.42	"Jean-Mathieu"	0	0	0	0	0	0	2	3	5
2018	7	24	"12"	7	"GP130F"	2687	"model"	"Primary"	"15:01:53"	"15:06:52"	48.3292083333333	-63.1527166666667	51.2	1.41	1.14	"Jean-Mathieu"	1	0.428	0	0	2	1	12	0	12
2018	7	24	"12"	8	"GP138F"	2849	"model"	"Primary"	"16:22:51"	"16:27:54"	48.3884416666667	-62.9656	75	0.88	0.62	"Jean-Mathieu"	0	0	0	0	0	0	7	17	24
2018	7	24	"12"	10	"GP165A1"	3857	"model"	"Alternate 1"	"18:05:33"	"18:10:46"	48.33305	-62.8469833333333	82.3	0.38	0.13	"Jean-Mathieu"	0	0	0	0	0	0	2	3	5
2018	7	24	"12"	11	"GP152F"	3154	"average"	"Primary"	"19:21:22"	"19:26:22"	48.3153166666667	-62.984175	78.6	1.09	0.86	"Jean-Mathieu"	1	0.398	1	0.398	1	0	41	30	71
2018	7	24	"12"	12	"GP153F"	3379	"model"	"Primary"	"20:48:30"	"20:53:36"	48.2084916666667	-62.9704916666667	71.3	0.42	0.17	"Jean-Mathieu"	0	0	0	0	0	0	7	23	30
2018	7	25	"12"	1	"GP219F"	2269	"model"	"Primary"	"05:42:40"	"05:47:41"	47.3847166666667	-62.3591333333333	53	1.48	1.18	"Jean-Mathieu"	2	0.779	1	0.369	2	0	75	17	92
2018	7	31	"12"	1	"GP240F"	2687	"model"	"Primary"	"05:26:38"	"05:32:00"	46.562975	-62.08785	43.9	2.08	1.74	"Jean-Mathieu"	0	0	0	0	0	0	0	0	0
2018	7	31	"12"	2	"GP234F"	2248	"model"	"Primary"	"06:50:58"	"06:56:09"	46.5852	-62.2420916666667	49.4	1.45	1.14	"Jean-Mathieu"	1	0.439	0	0	1	0	17	7	24
2018	7	31	"12"	4	"GP226A1"	1784	"model"	"Alternate 1"	"09:11:49"	"09:17:03"	46.7045916666667	-62.2122416666667	67.7	0.62	0.33	"Jean-Mathieu"	2	1.152	0	0	3	0	8	3	11
2018	7	31	"12"	5	"GP220F"	2763	"model"	"Primary"	"10:50:13"	"10:55:22"	46.733725	-62.3015166666667	65.8	0.71	0.42	"Jean-Mathieu"	32	18.307	1	0.423	38	6	137	29	166
2018	7	31	"12"	6	"GP214F"	2761	"model"	"Primary"	"12:08:36"	"12:13:42"	46.6390166666667	-62.37695	58.5	0.79	0.5	"Jean-Mathieu"	4	2.438	0	0	4	0	25	28	53
2018	7	31	"12"	7	"GP192F"	2610	"model"	"Primary"	"13:31:16"	"13:36:35"	46.61295	-62.5365416666667	47.5	1.48	1.1	"Jean-Mathieu"	2	1.198	0	0	3	1	17	2	19
2018	7	31	"12"	8	"GP197F"	2570	"model"	"Primary"	"14:26:55"	"14:32:08"	46.6629916666667	-62.5771333333333	53	1.14	0.82	"Jean-Mathieu"	5	2.749	0	0	7	1	20	2	22
2018	7	31	"12"	9	"GP189F"	3122	"model"	"Primary"	"15:16:03"	"15:21:24"	46.6121833333333	-62.6314333333333	47.5	1.44	1.1	"Jean-Mathieu"	0	0	0	0	0	0	0	0	0
2018	7	31	"12"	10	"GP162F"	2550	"model"	"Primary"	"16:45:06"	"16:50:16"	46.6036166666667	-62.8460083333333	53	1.28	0.94	"Jean-Mathieu"	4	2.082	0	0	5	1	77	40	117
2018	7	31	"12"	11	"GP170F"	2752	"model"	"Primary"	"18:00:18"	"18:05:26"	46.7043416666667	-62.8809166666667	54.9	0.84	0.55	"Jean-Mathieu"	35	18.761	0	0	41	5	137	146	283
2018	7	31	"12"	13	"GP174A1"	2230	"model"	"Alternate 1"	"20:52:29"	"20:57:28"	46.6645666666667	-62.7904416666667	53	1.08	0.74	"Jean-Mathieu"	0	0	0	0	0	0	5	0	5
2018	8	1	"12"	1	"GP184F"	2740	"model"	"Primary"	"05:37:04"	"05:42:20"	46.8060416666667	-62.6764333333333	60.4	0.78	0.53	"Jean-Mathieu"	31	16.583	0	0	34	2	191	50	241
2018	8	1	"12"	2	"GP159F"	2584	"model"	"Primary"	"07:04:20"	"07:09:37"	46.8346833333333	-62.8396833333333	58.5	0.81	0.54	"Jean-Mathieu"	23	12.221	1	0.411	35	12	128	36	164
2018	8	1	"12"	3	"GP147F"	2769	"model"	"Primary"	"08:41:37"	"08:46:42"	46.88225	-63.020525	60.4	0.58	0.29	"Jean-Mathieu"	2	1.05	0	0	2	0	160	171	331
2018	8	1	"12"	4	"GP149F"	3167	"model"	"Primary"	"09:46:00"	"09:51:10"	46.9262	-63.01655	60.4	0.75	0.48	"Jean-Mathieu"	3	1.668	1	0.451	6	3	39	35	74
2018	8	1	"12"	5	"GP158F"	2543	"model"	"Primary"	"10:35:06"	"10:40:20"	46.9421583333333	-62.9175083333333	60.4	0.82	0.54	"Jean-Mathieu"	4	2.624	2	1.219	4	0	44	111	155
2018	8	1	"12"	6	"GP176F"	2891	"model"	"Primary"	"11:43:07"	"11:48:26"	46.9883083333333	-62.7692833333333	64	0.67	0.33	"Jean-Mathieu"	11	5.866	3	1.286	11	0	45	198	243
2018	8	1	"12"	7	"GP179F"	3292	"model"	"Primary"	"12:37:30"	"12:42:43"	47.0128583333333	-62.6861916666667	67.7	0.62	0.33	"Jean-Mathieu"	6	3.087	1	0.365	8	2	39	201	240
2018	8	1	"12"	9	"GP191A1"	3214	"model"	"Alternate 1"	"14:42:11"	"14:47:23"	47.095825	-62.5253916666667	69.5	0.61	0.29	"Jean-Mathieu"	9	4.651	3	1.24	15	6	57	64	121
2018	8	1	"12"	10	"GP177F"	3011	"model"	"Primary"	"16:03:45"	"16:08:57"	47.163125	-62.6823666666667	65.8	0.4	0.09	"Jean-Mathieu"	66	35.188	1	0.541	74	7	149	180	329
2018	8	1	"12"	11	"GP163F"	2610	"model"	"Primary"	"17:29:32"	"17:34:37"	47.0974666666667	-62.8740083333333	58.5	0.65	0.33	"Jean-Mathieu"	26	15.217	0	0	28	2	81	43	124
2018	8	1	"12"	12	"GP164F"	3096	"model"	"Primary"	"18:32:42"	"18:37:55"	47.1660916666667	-62.87435	60.4	0.55	0.26	"Jean-Mathieu"	37	20.938	0	0	44	6	96	26	122
2018	8	1	"12"	13	"GP151F"	2690	"model"	"Primary"	"19:41:28"	"19:46:42"	47.1873916666667	-63.0022666666667	60.4	0.54	0.25	"Jean-Mathieu"	48	28.572	0	0	59	11	168	17	185
2018	8	2	"12"	1	"GP154F"	2417	"model"	"Primary"	"05:45:17"	"05:50:37"	46.6012416666667	-63.06805	47.5	1.7	1.34	"Jean-Mathieu"	0	0	0	0	1	1	72	80	152
2018	8	2	"12"	2	"GP133F"	2308	"model"	"Primary"	"06:46:01"	"06:51:12"	46.6205416666667	-63.1672833333333	43.9	1.56	1.26	"Jean-Mathieu"	6	2.919	0	0	6	0	78	10	88
2018	8	2	"12"	3	"GP141F"	2526	"average"	"Primary"	"07:36:18"	"07:41:19"	46.6762833333333	-63.1192833333333	45.7	1.52	1.18	"Jean-Mathieu"	4	1.709	0	0	4	0	39	35	74
2018	8	2	"12"	6	"GP128A2"	2736	"model"	"Alternate 2"	"17:16:15"	"17:21:17"	46.7394416666667	-63.237175	45.7	0.97	0.62	"Jean-Mathieu"	0	0	0	0	0	0	30	8	38
2018	8	2	"12"	8	"GP123A1"	2574	"model"	"Alternate 1"	"19:23:45"	"19:29:04"	46.8266333333333	-63.28795	49.4	0.73	0.42	"Jean-Mathieu"	9	4.43	0	0	10	1	106	79	185
2018	8	2	"12"	9	"GP099F"	2336	"model"	"Primary"	"20:38:27"	"20:43:36"	46.791475	-63.422175	45.7	1.11	0.86	"Jean-Mathieu"	7	3.46	0	0	11	4	73	19	92
2018	8	3	"12"	1	"GP094F"	2449	"model"	"Primary"	"05:38:48"	"05:43:50"	46.785425	-63.497325	42.1	1.44	1.14	"Jean-Mathieu"	2	1.478	0	0	4	2	53	24	77
2018	8	3	"12"	2	"GP113F"	2710	"model"	"Primary"	"07:19:32"	"07:24:37"	46.9107083333333	-63.3183583333333	58.5	0.43	0.13	"Jean-Mathieu"	4	2.078	0	0	4	0	94	105	199
2018	8	3	"12"	3	"GP127F"	2783	"model"	"Primary"	"08:26:32"	"08:31:47"	46.9596166666667	-63.2029333333333	58.5	0.6	0.33	"Jean-Mathieu"	31	17.194	0	0	34	3	141	111	252
2018	8	3	"12"	8	"GP124F"	3900	"model"	"Primary"	"15:22:17"	"15:27:34"	47.1764916666667	-63.2443916666667	65.8	0.51	0.23	"Jean-Mathieu"	12	5.798	0	0	22	9	68	51	119
2018	8	3	"12"	9	"GP105F"	2778	"model"	"Primary"	"16:18:57"	"16:24:03"	47.1681083333333	-63.3495416666667	56.7	0.43	0.13	"Jean-Mathieu"	3	1.502	0	0	4	1	8	1	9
2018	8	3	"12"	10	"GP106F"	3132	"model"	"Primary"	"17:31:41"	"17:36:53"	47.0847916666667	-63.3254833333333	56.7	0.34	0.05	"Jean-Mathieu"	8	3.872	0	0	10	2	135	137	272
2018	8	3	"12"	11	"GP125F"	2982	"model"	"Primary"	"18:29:06"	"18:34:36"	47.0081833333333	-63.2871333333333	56.7	0.51	0.22	"Jean-Mathieu"	7	3.401	0	0	8	1	50	55	105
2018	8	4	"12"	1	"GP084A1"	2106	"model"	"Alternate 1"	"05:45:27"	"05:50:34"	46.955075	-63.5133416666667	49.4	0.8	0.5	"Jean-Mathieu"	0	0	0	0	0	0	224	186	410
2018	8	4	"12"	2	"GP077F"	2778	"model"	"Primary"	"07:05:15"	"07:10:27"	46.9684166666667	-63.6349416666667	43.9	1.17	0.88	"Jean-Mathieu"	8	5.132	0	0	10	2	86	52	138
2018	8	4	"12"	3	"GP068F"	3000	"model"	"Primary"	"08:31:33"	"08:36:44"	47.0972583333333	-63.70765	54.9	0.49	0.17	"Jean-Mathieu"	0	0	0	0	1	1	290	258	548
2018	8	4	"12"	4	"GP088F"	1627	"model"	"Primary"	"09:45:54"	"09:51:15"	47.1064666666667	-63.5655333333333	49.4	0.35	0.05	"Jean-Mathieu"	5	2.116	0	0	5	0	82	74	156
2018	8	4	"12"	5	"GP080F"	1413	"model"	"Primary"	"11:03:05"	"11:08:24"	47.157375	-63.5708166666667	53	0.15	-0.15	"Jean-Mathieu"	0	0	0	0	0	0	0	0	0
2018	8	4	"12"	6	"GP076F"	3323	"model"	"Primary"	"12:21:43"	"12:26:54"	47.2394583333333	-63.6426666666667	65.8	0.12	-0.16	"Jean-Mathieu"	14	7.192	1	0.357	21	7	100	76	176
2018	8	4	"12"	7	"GP061F"	2793	"model"	"Primary"	"13:23:47"	"13:28:58"	47.1960166666667	-63.7686583333333	54.9	0.49	0.15	"Jean-Mathieu"	5	2.48	0	0	5	0	115	76	191
2018	8	4	"12"	8	"GP049F"	2408	"model"	"Primary"	"14:23:01"	"14:28:18"	47.2009333333333	-63.8123416666667	47.5	0.31	-0.04	"Jean-Mathieu"	7	3.882	2	0.785	7	0	32	9	41
2018	8	4	"12"	9	"GP046F"	2404	"model"	"Primary"	"16:07:15"	"16:12:19"	47.3338083333333	-63.9501833333333	40.2	0.09	-0.21	"Jean-Mathieu"	1	0.552	0	0	2	1	57	46	103
2018	8	4	"12"	10	"GP036F"	2371	"model"	"Primary"	"17:32:49"	"17:37:53"	47.2249166666667	-64.0955833333333	40.2	1.24	0.87	"Jean-Mathieu"	2	1.089	0	0	3	0	24	9	33
2018	8	4	"12"	11	"GP026F"	2764	"model"	"Primary"	"18:55:32"	"19:00:32"	47.0859	-64.1880083333333	40.2	0.29	-0.12	"Jean-Mathieu"	5	2.494	0	0	6	1	89	45	134
2018	8	4	"12"	12	"GP024F"	2789	"model"	"Primary"	"20:11:27"	"20:16:26"	47.1897583333333	-64.2446666666667	40.2	0.72	0.33	"Jean-Mathieu"	7	3.393	0	0	7	0	72	34	106
2018	8	5	"12"	1	"GP025F"	2956	"model"	"Primary"	"05:58:33"	"06:03:39"	47.3158416666667	-64.1916333333333	45.7	0.61	0.25	"Jean-Mathieu"	5	2.599	0	0	6	1	51	33	84
2018	8	5	"12"	2	"GP044F"	2080	"model"	"Primary"	"07:31:43"	"07:36:48"	47.4167833333333	-64.0842833333333	36.6	0.92	0.59	"Jean-Mathieu"	0	0	0	0	0	0	5	0	5
2018	8	5	"12"	3	"GP023F"	2886	"model"	"Primary"	"09:08:13"	"09:13:45"	47.3582583333333	-64.2833333333333	54.9	0.5	0.21	"Jean-Mathieu"	6	3.112	0	0	10	4	110	31	141
2018	8	5	"12"	4	"GP016F"	2532	"model"	"Primary"	"10:33:16"	"10:38:28"	47.3022333333333	-64.4435166666667	42.1	0.42	0.07	"Jean-Mathieu"	3	1.41	0	0	3	0	80	21	101
2018	8	5	"12"	5	"GP019F"	2446	"average"	"Primary"	"12:14:23"	"12:19:21"	47.436275	-64.3455166666667	53	0.21	-0.08	"Jean-Mathieu"	9	5.009	1	0.694	11	1	47	22	69
2018	8	5	"12"	6	"GP018F"	2575	"model"	"Primary"	"13:15:32"	"13:20:42"	47.50255	-64.391175	45.7	0.21	-0.12	"Jean-Mathieu"	45	26.252	1	0.46	53	7	122	57	179
2018	8	5	"12"	7	"GP028F"	2568	"model"	"Primary"	"14:55:25"	"15:00:41"	47.54435	-64.1779916666667	64	0.4	0.15	"Jean-Mathieu"	13	6.81	11	5.591	16	3	25	36	61
2018	8	5	"12"	8	"GP032F"	1938	"model"	"Primary"	"15:44:27"	"15:49:44"	47.553875	-64.1288916666667	65.8	0.6	0.33	"Jean-Mathieu"	13	6.986	9	4.861	14	1	26	61	87
2018	8	5	"12"	9	"GP050F"	2907	"model"	"Primary"	"17:36:03"	"17:41:09"	47.48865	-63.8994083333333	65.8	-0.25	-0.53	"Jean-Mathieu"	18	9.474	2	0.817	23	5	125	84	209
2018	8	5	"12"	10	"GP048F"	3545	"model"	"Primary"	"18:45:43"	"18:50:43"	47.4413	-63.8346166666667	60.4	-0.1	-0.35	"Jean-Mathieu"	3	1.887	0	0	3	0	90	83	173
2018	8	5	"12"	11	"GP067F"	3247	"model"	"Primary"	"19:56:15"	"20:01:13"	47.389675	-63.71375	60.4	0.12	-0.12	"Jean-Mathieu"	8	4.655	3	1.37	8	0	28	96	124
2018	8	6	"12"	1	"GP066F"	3027	"model"	"Primary"	"05:44:57"	"05:50:10"	47.5090083333333	-63.7233166666667	69.5	-0.11	-0.37	"Jean-Mathieu"	13	7.426	2	1.614	21	8	129	9	138
2018	8	6	"12"	2	"GP070F"	3486	"model"	"Primary"	"07:03:22"	"07:08:33"	47.6399416666667	-63.7053583333333	64	-0.25	-0.53	"Jean-Mathieu"	25	12.524	8	3.833	25	0	105	149	254
2018	8	6	"12"	3	"GP063F"	3571	"model"	"Primary"	"08:05:37"	"08:10:46"	47.729075	-63.6713	69.5	0.41	0.13	"Jean-Mathieu"	12	8.009	5	3.06	13	1	36	61	97
2018	8	6	"12"	5	"GP047A1"	2637	"model"	"Alternate 1"	"10:37:52"	"10:42:55"	47.6437583333333	-63.9572666666667	51.2	-0.25	-0.58	"Jean-Mathieu"	2	1.214	0	0	4	2	9	0	9
2018	8	6	"12"	6	"GP022F"	1761	"model"	"Primary"	"12:01:04"	"12:06:14"	47.6584833333333	-64.1606083333333	56.7	0.63	0.37	"Jean-Mathieu"	8	4.25	7	3.689	8	0	13	69	82
2018	8	6	"12"	7	"GP030F"	2176	"model"	"Primary"	"12:57:38"	"13:02:45"	47.6985083333333	-64.1596833333333	71.3	0.68	0.42	"Jean-Mathieu"	40	22.368	34	18.68	41	1	54	6	60
2018	8	6	"12"	8	"GP040F"	2006	"model"	"Primary"	"14:01:56"	"14:07:07"	47.6833583333333	-64.0938583333333	71.3	0.72	0.46	"Jean-Mathieu"	21	10.863	11	5.89	22	1	26	37	63
2018	8	6	"12"	9	"GP042F"	2126	"model"	"Primary"	"15:12:32"	"15:17:48"	47.7631333333333	-64.0072	75	0.78	0.54	"Jean-Mathieu"	12	7.73	6	3.976	16	4	22	15	37
